,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime,rand_seed
0,3600.0,3900.0,cross_junction_ratmalana_bus,0.0,1.7,0.0,119.0,AGGREGATED,33.0,33.0,0.01,102.0,45.0,0.01,904.99,2325.28,5.06,0.3,662.35,958.33,411.0,14762
1,3600.0,3900.0,cross_junction_ratmalana_probe,0.0,0.62,0.0,92.0,AGGREGATED,10.0,10.0,0.0,95.0,43.0,0.0,368.45,826.74,11.99,0.72,198.24,366.44,56.0,14762
2,3600.0,3900.0,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,,14762
3,3600.0,3900.0,wellawatta_kollupitiya_probe,0.0,0.68,2.0,213.0,AGGREGATED,9.0,9.0,0.0,214.0,78.0,0.0,154.53,484.83,15.5,0.93,52.41,154.39,7.0,14762
4,3900.0,4200.0,cross_junction_ratmalana_bus,0.0,5.22,0.0,413.0,AGGREGATED,45.0,45.0,0.04,405.0,45.0,0.04,694.37,7154.1,6.6,0.39,1286.01,721.48,518.0,14762
5,3900.0,4200.0,cross_junction_ratmalana_probe,0.0,0.48,0.0,81.0,AGGREGATED,25.0,25.0,0.0,80.0,43.0,0.0,327.33,632.65,13.49,0.81,91.93,326.41,0.0,14762
6,3900.0,4200.0,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,,14762
7,3900.0,4200.0,wellawatta_kollupitiya_probe,0.0,1.02,2.0,285.0,AGGREGATED,3.0,3.0,0.0,286.0,78.0,0.0,175.36,729.78,13.65,0.82,95.59,175.33,27.0,14762
8,4200.0,4500.0,cross_junction_ratmalana_bus,0.0,5.39,0.0,398.0,AGGREGATED,75.0,75.0,0.04,396.0,45.0,0.05,710.07,7391.94,6.45,0.39,1413.33,737.67,709.0,14762
9,4200.0,4500.0,cross_junction_ratmalana_probe,0.0,0.47,0.0,74.0,AGGREGATED,23.0,23.0,0.0,74.0,43.0,0.0,360.56,622.53,12.25,0.73,102.02,360.68,4.0,14762
