interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
3600.00,3900.00,cross_junction_ratmalana_bus,0,1.92,0,167,AGGREGATED,50,50,0.01,148,45,0.02,727.82,2627.25,6.29,0.38,672.14,762.71,356.00
3600.00,3900.00,cross_junction_ratmalana_probe,0,0.47,0,74,AGGREGATED,6,6,0.00,74,43,0.00,345.31,624.25,12.79,0.76,125.97,313.74,54.45
3600.00,3900.00,cross_junction_ratmalana_general,99,27.46,121,4196,AGGREGATED,680,680,0.21,4244,43,0.08,339.42,36349.65,13.01,0.78,7164.50,338.69,3719.11
3600.00,3900.00,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,
3600.00,3900.00,wellawatta_kollupitiya_probe,0,0.81,2,254,AGGREGATED,9,9,0.00,256,78,0.00,153.08,577.75,15.64,0.94,63.53,152.71,6.00
3600.00,3900.00,wellawatta_kollupitiya_general,102,24.71,52,7732,AGGREGATED,300,300,0.08,7680,78,0.03,159.82,17718.86,14.98,0.90,1294.97,159.59,208.00
3900.00,4200.00,cross_junction_ratmalana_bus,0,5.28,0,430,AGGREGATED,47,47,0.04,425,45,0.04,652.37,7239.70,7.02,0.42,997.75,675.24,307.00
3900.00,4200.00,cross_junction_ratmalana_probe,0,0.66,0,104,AGGREGATED,26,26,0.00,105,43,0.00,355.89,870.34,12.41,0.74,180.26,353.23,37.00
3900.00,4200.00,cross_junction_ratmalana_general,85,27.35,128,3999,AGGREGATED,922,922,0.21,4037,43,0.07,368.01,36204.94,12.00,0.72,9312.39,366.88,4265.61
3900.00,4200.00,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,
3900.00,4200.00,wellawatta_kollupitiya_probe,0,1.01,2,293,AGGREGATED,10,10,0.00,293,78,0.00,170.55,724.34,14.04,0.84,78.38,170.45,11.00
3900.00,4200.00,wellawatta_kollupitiya_general,111,25.66,55,8077,AGGREGATED,286,286,0.08,8029,78,0.03,159.40,18399.54,15.02,0.90,1228.75,159.19,214.00
4200.00,4500.00,cross_junction_ratmalana_bus,0,5.44,0,391,AGGREGATED,70,70,0.04,392,45,0.05,732.13,7449.77,6.26,0.37,1459.37,760.36,743.00
