interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,3600.00,ed_bus_speed,0,1.95,0,90,102651364#23.9,0,0,0.65,90,0.67,6.46,581.37,14.69,0.88,68.91,5.69,0.00
0.00,3600.00,ed_bus_speed,0,3.27,80,0,112446385#5,14,14,1.63,79,1.95,86.88,6803.34,6.79,0.41,4031.72,85.62,2586.00
0.00,3600.00,ed_bus_speed,3,0.11,0,3,15242148#0,0,0,0.11,0,0.13,26.77,76.94,7.40,0.89,8.58,25.10,0.00
0.00,3600.00,ed_bus_speed,2,0.06,0,2,155990909#1,2,2,0.03,0,0.03,26.99,52.57,9.71,0.87,6.64,25.76,0.00
0.00,3600.00,ed_bus_speed,0,1.85,0,69,161480084#0,0,0,0.93,69,0.87,4.11,283.34,13.26,0.80,57.96,3.16,9.00
0.00,3600.00,ed_bus_speed,0,2.49,0,69,161480084#1,0,0,1.24,69,1.24,6.18,426.10,9.66,0.58,179.28,5.02,32.00
0.00,3600.00,ed_bus_speed,0,1.52,0,65,161480084#10,1,1,0.76,65,0.72,3.75,243.74,15.04,0.90,23.79,2.95,0.00
0.00,3600.00,ed_bus_speed,0,2.91,0,65,161480084#11,2,2,1.45,65,0.72,1.37,89.01,14.97,0.90,9.07,0.56,0.00
0.00,3600.00,ed_bus_speed,0,1.43,0,65,161480084#12,1,1,0.72,65,0.73,5.37,349.30,14.84,0.89,38.34,4.56,0.00
0.00,3600.00,ed_bus_speed,0,1.48,0,65,161480084#14,15,15,0.74,65,0.76,5.54,358.17,14.34,0.86,50.00,4.70,0.00
0.00,3600.00,ed_bus_speed,0,1.53,0,65,161480084#15,4,4,0.77,65,0.75,4.35,282.89,14.54,0.87,36.15,3.53,0.00
0.00,3600.00,ed_bus_speed,0,1.74,0,65,161480084#16,0,0,0.87,65,0.95,10.58,687.50,11.49,0.69,213.51,9.50,57.00
0.00,3600.00,ed_bus_speed,0,9.32,0,65,161480084#17,5,5,4.66,65,5.37,33.42,2172.19,2.30,0.14,698.18,31.71,122.00
0.00,3600.00,ed_bus_speed,0,2.28,0,65,161480084#18,3,3,0.76,65,0.68,5.72,371.88,10.03,0.60,148.19,4.16,8.00
0.00,3600.00,ed_bus_speed,0,8.70,0,69,161480084#2,21,21,2.90,69,3.22,17.20,1165.40,2.86,0.17,389.30,15.46,115.00
0.00,3600.00,ed_bus_speed,0,6.36,0,65,161480084#20,2,2,2.12,65,2.30,18.57,1207.09,3.49,0.21,953.63,17.38,635.00
0.00,3600.00,ed_bus_speed,0,5.11,0,63,161480084#22,4,4,2.56,63,2.97,34.79,2191.70,3.77,0.23,833.50,33.38,128.00
0.00,3600.00,ed_bus_speed,0,1.35,0,63,161480084#23,1,1,0.67,63,0.72,9.12,574.27,14.31,0.86,81.19,8.33,0.00
0.00,3600.00,ed_bus_speed,0,4.43,0,63,161480084#24,11,11,2.22,60,2.57,31.63,1962.33,4.27,0.26,601.89,30.30,103.00
0.00,3600.00,ed_bus_speed,0,1.96,0,60,161480084#26,3,3,0.98,60,0.78,2.84,169.05,12.67,0.76,40.59,1.99,0.00
0.00,3600.00,ed_bus_speed,0,7.27,0,69,161480084#3,22,22,2.42,69,2.71,21.11,1456.34,3.21,0.19,1176.24,19.87,803.00
0.00,3600.00,ed_bus_speed,0,1.46,0,69,161480084#4,2,2,0.73,67,0.78,7.84,530.42,14.42,0.86,71.63,7.02,0.00
0.00,3600.00,ed_bus_speed,0,1.51,0,67,161480084#5,1,1,0.75,67,0.76,5.13,343.47,14.69,0.88,40.79,4.31,0.00
0.00,3600.00,ed_bus_speed,0,2.05,0,67,161480084#6,0,0,1.03,67,0.89,3.16,211.99,12.87,0.77,48.36,2.26,14.00
0.00,3600.00,ed_bus_speed,0,4.39,0,67,161480084#7,6,6,2.19,65,2.50,20.49,1358.24,4.78,0.29,467.73,19.42,101.00
0.00,3600.00,ed_bus_speed,0,1.71,0,65,161480084#8,2,2,0.86,65,0.76,3.37,219.28,14.11,0.85,33.68,2.57,0.00
0.00,3600.00,ed_bus_speed,0,1.53,0,65,161480084#9,0,0,0.76,65,0.72,3.80,247.26,14.97,0.90,25.28,3.01,0.00
0.00,3600.00,ed_bus_speed,0,0.20,0,4,185733519#1,0,0,0.07,4,0.05,3.21,12.85,9.30,0.67,4.25,2.05,0.00
0.00,3600.00,ed_bus_speed,2,0.30,0,2,18598988,0,0,0.15,0,0.17,47.74,84.76,1.91,0.69,26.20,41.52,0.00
0.00,3600.00,ed_bus_speed,0,1.68,0,78,194092438#4,3,3,0.84,78,0.85,5.30,412.90,15.15,0.91,37.60,4.53,0.00
0.00,3600.00,ed_bus_speed,0,1.77,0,78,194092438#5,5,5,0.89,78,0.87,4.28,332.96,15.01,0.90,33.12,3.47,0.00
0.00,3600.00,ed_bus_speed,0,1.59,0,78,194092438#6,4,4,0.80,78,0.85,7.15,557.37,15.26,0.92,47.12,6.37,0.00
0.00,3600.00,ed_bus_speed,0,1.65,0,78,194092438#7,2,2,0.82,78,0.86,6.05,471.26,15.15,0.91,43.05,5.25,0.00
0.00,3600.00,ed_bus_speed,4,0.09,0,4,194099559#0,0,0,0.02,0,0.03,16.60,63.54,12.96,0.93,4.25,15.68,0.00
0.00,3600.00,ed_bus_speed,3,0.07,0,3,19811337#1,1,1,0.03,0,0.04,26.17,76.80,12.14,0.87,9.70,25.18,0.00
0.00,3600.00,ed_bus_speed,0,0.18,0,4,23169388,0,0,0.06,4,0.03,1.73,6.93,13.10,0.94,0.40,0.82,0.00
0.00,3600.00,ed_bus_speed,3,0.44,0,3,23323086,0,0,0.44,0,0.52,142.84,411.10,1.90,0.69,129.29,136.54,0.00
0.00,3600.00,ed_bus_speed,0,0.10,0,4,259798301#1,0,0,0.05,4,0.04,2.92,11.69,15.76,0.95,0.64,2.18,0.00
0.00,3600.00,ed_bus_speed,0,1.27,0,39,289027979,0,0,0.42,39,0.28,1.68,65.68,15.68,0.94,3.91,0.92,0.00
0.00,3600.00,ed_bus_speed,0,9.19,0,19,351910071,0,0,4.59,19,4.11,43.12,819.24,0.85,0.05,777.33,41.56,693.00
0.00,3600.00,ed_bus_speed,0,0.08,0,4,356578615#0,9,9,0.02,4,0.02,9.59,37.29,14.44,0.87,4.66,8.74,0.00
0.00,3600.00,ed_bus_speed,0,0.68,4,0,376601738#2,0,0,0.68,4,0.81,85.35,311.60,1.62,0.59,141.14,82.46,50.00
0.00,3600.00,ed_bus_speed,39,0.75,0,39,455043449,0,0,0.37,0,0.41,7.22,269.85,15.57,0.93,17.76,6.46,0.00
0.00,3600.00,ed_bus_speed,0,0.76,0,39,455043472,0,0,0.38,39,0.42,9.08,354.01,15.60,0.94,22.78,8.30,0.00
0.00,3600.00,ed_bus_speed,0,0.98,0,39,455043517,0,0,0.49,39,0.41,2.60,101.32,15.70,0.94,5.92,1.83,0.00
0.00,3600.00,ed_bus_speed,0,0.77,0,39,455043526,0,0,0.26,39,0.28,7.43,289.61,15.75,0.94,15.98,6.66,0.00
0.00,3600.00,ed_bus_speed,0,2.46,0,77,48701240#1,0,0,1.23,77,0.85,1.90,145.33,14.98,0.90,14.70,1.09,0.00
0.00,3600.00,ed_bus_speed,0,1.44,0,75,48701240#11,7,7,0.72,75,0.82,14.03,1052.23,15.32,0.92,85.46,13.24,0.00
0.00,3600.00,ed_bus_speed,0,1.71,0,75,48701240#15,1,1,0.86,75,0.83,4.08,306.22,15.11,0.91,28.67,3.27,0.00
0.00,3600.00,ed_bus_speed,0,1.57,0,75,48701240#16,7,7,0.78,75,0.85,8.05,602.15,14.75,0.88,69.34,7.22,0.00
0.00,3600.00,ed_bus_speed,0,1.60,0,75,48701240#17.68,2,2,0.80,75,0.88,13.05,978.82,13.94,0.84,160.30,11.95,13.00
0.00,3600.00,ed_bus_speed,0,4.10,0,77,48701240#4,12,12,2.05,77,2.36,22.91,1762.57,5.74,0.34,430.08,22.11,39.00
0.00,3600.00,ed_bus_speed,0,1.53,0,77,48701240#6,6,6,0.77,77,0.84,9.56,735.59,15.20,0.91,65.01,8.74,0.00
0.00,3600.00,ed_bus_speed,0,4.49,0,77,48701240#9,11,11,2.25,75,2.59,22.46,1700.75,5.22,0.31,380.52,21.64,45.00
0.00,3600.00,ed_bus_speed,0,5.42,0,75,50071260#3,0,0,2.71,75,1.06,1.46,109.86,12.04,0.72,30.55,0.57,6.00
0.00,3600.00,ed_bus_speed,0,4.17,0,75,50071260#4,0,0,2.09,75,1.33,2.33,174.95,10.13,0.61,68.59,1.40,27.00
