interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,300.00,cross_junction_ratmalana_all,66,12.60,172,1889,AGGREGATED,329,329,0.09,1917,45,0.04,377.74,17262.57,12.11,0.72,3905.23,379.12,2173.00
0.00,300.00,wellawatta_kollupitiya_all,75,12.76,88,3908,AGGREGATED,159,159,0.04,3885,76,0.01,151.98,8845.35,15.23,0.91,739.75,151.87,97.00
300.00,600.00,cross_junction_ratmalana_all,126,26.02,209,3638,AGGREGATED,772,772,0.19,3688,45,0.10,412.54,35654.25,11.09,0.66,9850.60,412.89,4937.00
300.00,600.00,wellawatta_kollupitiya_all,136,16.41,92,5120,AGGREGATED,203,203,0.05,5076,76,0.02,149.86,11372.76,15.44,0.93,856.89,149.65,83.00
600.00,900.00,cross_junction_ratmalana_all,125,22.23,160,3197,AGGREGATED,634,634,0.17,3261,45,0.09,396.89,30464.26,11.52,0.69,7605.99,395.30,3932.00
600.00,900.00,wellawatta_kollupitiya_all,136,17.68,94,5552,AGGREGATED,227,227,0.06,5504,76,0.02,150.57,12257.21,15.37,0.92,927.37,150.45,102.00
900.00,1200.00,cross_junction_ratmalana_all,132,22.38,189,3226,AGGREGATED,710,710,0.17,3281,45,0.08,396.39,30670.49,11.54,0.69,6985.60,396.11,3448.73
900.00,1200.00,wellawatta_kollupitiya_all,156,19.46,95,5806,AGGREGATED,251,251,0.06,5744,76,0.02,156.60,13486.97,14.78,0.89,1287.51,156.52,239.00
1200.00,1500.00,cross_junction_ratmalana_all,95,21.67,176,3159,AGGREGATED,702,702,0.16,3245,45,0.08,389.25,29694.11,11.75,0.70,6740.13,388.54,3353.00
1200.00,1500.00,wellawatta_kollupitiya_all,145,21.08,105,6207,AGGREGATED,292,292,0.07,6171,76,0.03,156.66,14613.74,14.77,0.89,1499.53,156.75,278.00
1500.00,1800.00,cross_junction_ratmalana_all,104,26.35,174,3077,AGGREGATED,733,733,0.20,3091,45,0.09,488.42,36116.32,9.36,0.56,13866.37,484.48,10365.00
1500.00,1800.00,wellawatta_kollupitiya_all,134,23.10,97,5830,AGGREGATED,364,364,0.08,5776,76,0.04,178.06,16014.07,13.01,0.78,2425.95,179.72,608.00
1800.00,2100.00,cross_junction_ratmalana_all,102,28.35,155,3166,AGGREGATED,798,798,0.21,3217,45,0.10,516.89,38850.94,8.85,0.53,16088.39,516.41,10694.00
1800.00,2100.00,wellawatta_kollupitiya_all,149,23.83,100,6253,AGGREGATED,339,339,0.08,6224,76,0.04,173.45,16520.28,13.35,0.80,2271.62,174.17,446.00
2100.00,2400.00,cross_junction_ratmalana_all,136,25.88,205,3695,AGGREGATED,802,802,0.19,3799,45,0.10,402.30,35467.16,11.37,0.68,9130.74,401.32,4412.00
2100.00,2400.00,wellawatta_kollupitiya_all,118,22.97,89,6009,AGGREGATED,393,393,0.08,5969,76,0.03,174.38,15922.30,13.28,0.80,2297.78,175.51,567.00
2400.00,2700.00,cross_junction_ratmalana_all,113,24.71,192,3502,AGGREGATED,799,799,0.18,3562,45,0.09,402.40,33867.95,11.36,0.68,9137.28,402.94,4808.84
2400.00,2700.00,wellawatta_kollupitiya_all,125,22.67,84,5635,AGGREGATED,366,366,0.07,5594,76,0.04,182.46,15711.91,12.69,0.76,2225.36,185.10,478.00
2700.00,3000.00,cross_junction_ratmalana_all,121,22.33,175,3243,AGGREGATED,739,739,0.17,3323,45,0.08,391.43,30607.34,11.68,0.70,7201.08,392.48,3563.00
2700.00,3000.00,wellawatta_kollupitiya_all,132,23.04,97,5850,AGGREGATED,373,373,0.08,5812,76,0.04,178.71,15967.09,12.96,0.78,2275.04,180.65,508.00
3000.00,3300.00,cross_junction_ratmalana_all,116,21.86,194,3295,AGGREGATED,686,686,0.16,3361,45,0.08,384.28,29953.49,11.90,0.71,6554.25,385.28,2967.00
3000.00,3300.00,wellawatta_kollupitiya_all,130,22.31,77,5684,AGGREGATED,398,398,0.07,5642,76,0.03,179.37,15462.35,12.91,0.77,2149.67,181.61,373.00
3300.00,3600.00,cross_junction_ratmalana_all,100,21.56,191,3198,AGGREGATED,655,655,0.16,3310,45,0.08,391.19,29545.71,11.69,0.70,7119.56,391.71,3482.28
3300.00,3600.00,wellawatta_kollupitiya_all,142,24.90,82,6247,AGGREGATED,381,381,0.08,6174,76,0.04,184.43,17256.45,12.56,0.75,2797.26,186.62,710.00
3600.00,3900.00,cross_junction_ratmalana_all,126,30.39,284,4166,AGGREGATED,984,984,0.23,4238,45,0.10,412.43,41652.20,11.09,0.66,11995.94,412.49,6330.00
3600.00,3900.00,wellawatta_kollupitiya_all,183,42.50,280,10999,AGGREGATED,811,811,0.14,11049,76,0.06,177.59,29455.71,13.04,0.78,4942.73,178.70,1134.00
3900.00,4200.00,cross_junction_ratmalana_all,191,44.76,301,5269,AGGREGATED,1403,1403,0.33,5337,45,0.16,486.75,61346.52,9.40,0.56,24052.67,485.69,11605.00
3900.00,4200.00,wellawatta_kollupitiya_all,236,51.48,283,13478,AGGREGATED,897,897,0.17,13524,76,0.07,175.85,35681.58,13.16,0.79,6090.66,176.73,1153.00
4200.00,4500.00,cross_junction_ratmalana_all,204,52.64,275,4901,AGGREGATED,1485,1485,0.39,4900,45,0.18,612.10,72141.28,7.47,0.45,37712.07,610.46,21073.72
4200.00,4500.00,wellawatta_kollupitiya_all,226,47.45,257,12937,AGGREGATED,820,820,0.16,12957,76,0.06,172.80,32887.79,13.40,0.80,5264.76,173.54,989.00
4500.00,4800.00,cross_junction_ratmalana_all,180,62.85,278,4791,AGGREGATED,1221,1221,0.47,4880,45,0.21,755.42,86134.19,6.05,0.36,52791.06,757.68,29991.00
4500.00,4800.00,wellawatta_kollupitiya_all,270,51.73,283,13879,AGGREGATED,928,928,0.17,13884,76,0.06,172.75,35851.74,13.40,0.80,5816.88,173.78,1307.00
4800.00,5100.00,cross_junction_ratmalana_all,163,80.36,286,4825,AGGREGATED,1450,1450,0.60,4864,45,0.26,957.14,110129.08,4.78,0.29,76312.35,969.65,47487.00
4800.00,5100.00,wellawatta_kollupitiya_all,245,48.77,287,13289,AGGREGATED,840,840,0.16,13354,76,0.06,170.45,33801.97,13.58,0.81,5202.22,171.33,857.00
5100.00,5400.00,cross_junction_ratmalana_all,195,88.60,248,4834,AGGREGATED,1408,1408,0.66,4843,45,0.28,1076.18,121413.30,4.25,0.25,88606.93,1093.57,51781.00
5100.00,5400.00,wellawatta_kollupitiya_all,219,47.05,272,13069,AGGREGATED,818,818,0.15,13113,76,0.06,167.62,32611.39,13.81,0.83,5034.04,168.41,899.00
5400.00,5700.00,cross_junction_ratmalana_all,188,89.95,293,5188,AGGREGATED,1521,1521,0.67,5356,45,0.29,994.12,123266.96,4.60,0.27,86804.87,1004.85,40826.79
5400.00,5700.00,wellawatta_kollupitiya_all,216,45.11,272,12227,AGGREGATED,772,772,0.15,12302,76,0.06,171.20,31269.58,13.52,0.81,5068.29,172.03,893.00
5700.00,6000.00,cross_junction_ratmalana_all,199,86.28,294,5382,AGGREGATED,1532,1532,0.64,5475,45,0.27,914.91,118239.90,5.00,0.30,80724.15,927.06,39332.91
5700.00,6000.00,wellawatta_kollupitiya_all,216,44.57,265,12266,AGGREGATED,727,727,0.15,12311,76,0.06,167.50,30895.40,13.82,0.83,4454.97,167.94,782.00
6000.00,6300.00,cross_junction_ratmalana_all,169,86.43,306,4944,AGGREGATED,1578,1578,0.65,4994,45,0.27,1009.18,118445.73,4.53,0.27,84019.70,1020.37,35359.29
6000.00,6300.00,wellawatta_kollupitiya_all,165,43.78,312,11687,AGGREGATED,782,782,0.14,11833,76,0.06,174.02,30342.37,13.30,0.80,4992.80,174.71,895.00
6300.00,6600.00,cross_junction_ratmalana_all,199,98.27,278,4880,AGGREGATED,1667,1667,0.73,4997,45,0.31,1198.56,134675.58,3.81,0.23,102120.75,1217.43,58079.02
6300.00,6600.00,wellawatta_kollupitiya_all,124,38.21,275,11031,AGGREGATED,601,601,0.13,11203,76,0.04,162.50,26487.39,14.24,0.85,3408.53,162.49,386.00
6600.00,6900.00,cross_junction_ratmalana_all,172,100.89,268,4696,AGGREGATED,1320,1320,0.75,4711,45,0.33,1257.12,138268.30,3.64,0.22,106261.39,1280.81,57090.00
6600.00,6900.00,wellawatta_kollupitiya_all,141,37.86,284,11156,AGGREGATED,578,578,0.12,11288,76,0.04,158.71,26239.13,14.58,0.87,3112.80,158.76,462.00
6900.00,7200.00,cross_junction_ratmalana_all,203,115.03,280,4585,AGGREGATED,1189,1189,0.86,4578,45,0.37,1468.84,157636.74,3.11,0.19,125981.05,1506.77,73286.83
6900.00,7200.00,wellawatta_kollupitiya_all,157,42.82,284,12169,AGGREGATED,685,685,0.14,12289,76,0.05,164.81,29681.31,14.04,0.84,4084.98,165.25,689.00
7200.00,7500.00,cross_junction_ratmalana_all,180,126.18,277,4805,AGGREGATED,1276,1276,0.94,4915,45,0.40,1583.02,172914.38,2.89,0.17,140605.92,1623.65,90888.00
7200.00,7500.00,wellawatta_kollupitiya_all,238,54.90,346,15040,AGGREGATED,862,862,0.18,15115,76,0.06,168.94,38054.06,13.70,0.82,5844.86,169.41,964.00
7500.00,7800.00,cross_junction_ratmalana_all,217,122.56,291,5476,AGGREGATED,1520,1520,0.91,5588,45,0.40,1313.24,167962.46,3.48,0.21,130637.10,1340.15,57177.34
7500.00,7800.00,wellawatta_kollupitiya_all,234,59.78,373,15857,AGGREGATED,975,975,0.20,16005,76,0.07,174.85,41437.11,13.24,0.79,7783.12,175.56,850.00
7800.00,8100.00,cross_junction_ratmalana_all,212,113.01,249,5645,AGGREGATED,1436,1436,0.84,5712,45,0.37,1180.45,154867.72,3.87,0.23,116851.75,1203.05,51197.74
7800.00,8100.00,wellawatta_kollupitiya_all,227,60.11,362,15933,AGGREGATED,904,904,0.20,16054,76,0.07,175.15,41662.61,13.21,0.79,7943.90,175.89,1074.00
